fn,sn,x,y
9,5,230,167
9,6,0,166
9,6,0,180
9,6,62,180
9,6,58,178
9,6,1,166
10,0,0,0
10,0,0,109
10,0,3,109
10,0,3,0
10,1,37,0
10,1,37,109
10,1,49,108
10,1,63,106
10,1,72,106
10,1,81,109
10,1,118,103
10,1,126,104
10,1,126,100
10,1,120,97
10,1,120,78
10,1,127,65
10,1,135,62
10,1,141,61
10,1,150,68
10,1,152,70
10,1,154,79
10,1,153,86
10,1,146,95
10,1,148,103
10,1,158,109
10,1,160,109
10,1,161,114
10,1,168,131
10,1,172,133
10,1,318,150
10,1,320,150
10,1,320,0
10,2,9,122
10,3,7,123
10,3,3,128
10,3,1,133
10,3,13,136
10,3,55,145
10,3,60,145
10,3,64,142
10,3,83,143
10,3,91,141
10,3,98,137
10,3,95,135
10,3,24,124
10,3,16,125
10,3,6,129
10,3,9,123
10,4,0,142
10,4,0,180
10,4,129,180
10,4,129,175
10,4,120,172
10,4,65,158
10,4,55,161
10,4,57,156
10,4,2,142
10,5,104,146
10,5,97,147
10,5,74,148
10,5,74,149
10,5,117,158
10,5,120,157
10,5,114,153
10,5,111,146
10,6,173,148
10,6,173,169
10,6,179,171
10,6,221,180
10,6,320,180
10,6,320,170
10,6,178,148
11,0,0,0
11,0,0,106
11,0,10,108
11,0,49,113
11,0,57,113
11,0,57,0
11,1,86,0
11,1,86,117
11,1,88,118
11,1,97,118
11,1,122,110
11,1,133,110
11,1,134,107
11,1,133,103
11,1,129,102
11,1,129,83
11,1,134,72
11,1,144,68
11,1,150,69
11,1,156,71
11,1,160,89
11,1,154,99
11,1,155,105
11,1,159,109
11,1,168,113
11,1,170,113
11,1,173,122
11,1,176,129
11,1,212,134
11,1,313,147
11,1,320,147
11,1,320,0
11,2,0,112
11,2,0,120
11,2,9,123
11,2,34,129
11,2,41,129
11,2,61,123
11,2,61,122
11,2,3,112
11,3,0,127
11,3,0,135
11,3,4,133
11,3,17,132
11,3,13,130
11,3,3,127
11,4,36,139
11,4,20,145
11,4,18,146
11,4,19,142
11,4,15,144
11,4,11,153
11,4,6,156
11,4,0,159
11,4,0,180
11,4,135,180
11,4,134,173
11,4,129,163
11,4,118,160
11,4,105,161
11,4,97,165
11,4,94,171
11,4,89,175
11,4,87,175
11,4,90,170
11,4,83,170
11,4,82,168
11,4,89,166
11,4,91,160
11,4,93,158
11,4,104,157
11,4,101,155
11,4,48,140
11,4,43,139
11,5,81,139
11,5,85,141
11,5,115,148
11,5,117,147
11,5,113,143
11,5,103,140
11,5,92,139
11,6,19,141
11,7,179,143
11,7,180,147
11,7,180,163
11,7,212,171
11,7,250,180
11,7,320,180
11,7,320,167
11,7,299,163
11,7,183,143
11,8,182,179
12,0,0,0
12,0,0,114
12,0,73,132
12,0,88,136
12,0,93,135
12,0,107,127
12,0,107,126
12,0,30,112
12,0,29,107
12,0,78,114
12,0,87,115
12,0,87,0
12,1,114,0
12,1,114,119
12,1,121,119
12,1,124,117
12,1,133,116
12,1,136,113
12,1,135,106
12,1,134,105
12,1,133,98
12,1,133,86
12,1,137,76
12,1,137,74
12,1,149,71
12,1,158,74
12,1,160,87
12,1,160,94
12,1,157,101
12,1,158,109
12,1,159,111
12,1,174,117
12,1,180,128
12,1,313,146
12,1,320,146
12,1,320,0
12,2,0,118
12,2,0,180
12,2,4,179
12,2,7,176
12,2,8,167
12,2,11,163
12,2,39,158
12,2,55,150
12,2,72,141
12,2,71,139
12,2,2,118
12,3,183,141
12,3,184,156
12,3,184,160
12,3,255,178
12,3,263,180
12,3,320,180
12,3,320,165
12,3,189,141
12,4,104,150
12,4,85,154
12,4,75,159
12,4,36,165
12,4,27,169
12,4,26,167
12,4,24,170
12,4,21,180
12,4,116,180
12,4,121,177
12,4,132,171
12,4,128,163
12,4,123,159
12,4,120,154
12,4,107,150
12,5,182,174
12,5,184,180
12,5,202,180
12,5,199,178
12,5,186,174
12,6,131,177
12,6,126,179
12,6,126,180
12,6,136,180
12,6,135,177
13,0,0,0
13,0,0,180
13,0,54,180
13,0,69,166
13,0,78,160
13,0,87,156
13,0,94,149
13,0,99,144
13,0,91,141
13,0,42,125
13,0,23,119
13,0,22,115
13,0,101,136
13,0,107,137
13,0,117,127
13,0,117,126
13,0,54,114
13,0,50,114
13,0,50,109
13,0,100,116
13,0,107,116
13,0,107,0
13,1,133,0
13,1,133,88
13,1,135,84
13,1,138,75
13,1,148,72
13,1,158,76
13,1,160,92
13,1,157,102
13,1,157,108
13,1,160,113
13,1,175,119
13,1,177,119
13,1,179,125
13,1,181,127
13,1,206,131
13,1,320,147
13,1,320,0
13,2,133,98
13,2,133,117
13,2,136,114
13,2,134,98
13,3,186,140
13,3,186,158
13,3,199,162
13,3,267,180
13,3,320,180
13,3,320,165
13,3,264,154
13,3,190,140
13,4,117,155
13,4,91,169
13,4,80,178
13,4,78,180
13,4,132,180
13,4,129,171
13,4,127,167
13,4,123,164
13,4,121,164
13,4,119,155
13,5,184,171
13,5,183,178
13,5,184,180
13,5,210,180
13,5,207,178
14,0,13,0
14,0,13,116
14,0,0,116
14,0,0,180
14,0,76,180
14,0,80,175
14,0,89,168
14,0,98,152
14,0,104,142
14,0,94,138
14,0,43,121
14,0,41,121
14,0,41,117
14,0,89,130
14,0,107,135
14,0,109,135
14,0,114,128
14,0,119,126
14,0,119,125
14,0,73,116
14,0,69,116
14,0,69,111
14,0,119,118
14,0,126,119
14,0,126,0
14,1,150,0
14,1,150,73
14,1,157,75
14,1,159,93
14,1,155,107
14,1,159,114
14,1,177,121
14,1,181,127
14,1,317,147
14,1,320,147
14,1,320,0
14,2,187,139
14,2,188,152
14,2,187,157
14,2,248,174
14,2,270,180
14,2,320,180
14,2,320,165
14,2,292,159
14,2,190,139
14,3,117,158
14,3,110,166
14,3,97,179
14,3,97,180
14,3,127,180
14,3,124,171
14,3,118,166
14,3,118,158
14,4,185,169
14,4,183,177
14,4,184,180
14,4,216,180
14,4,213,178
15,0,32,0
15,0,32,118
15,0,0,118
15,0,0,180
15,0,85,180
15,0,91,173
15,0,95,156
15,0,101,140
15,0,100,137
15,0,60,123
15,0,59,119
15,0,101,131
15,0,105,130
15,0,113,126
15,0,116,124
15,0,100,120
15,0,90,118
15,0,86,118
15,0,86,113
15,0,120,118
15,0,128,118
15,0,131,115
15,0,131,102
15,0,130,96
15,0,130,85
15,0,132,73
15,0,143,70
15,0,143,0
15,1,166,0
15,1,166,117
15,1,176,121
15,1,184,127
15,1,200,130
15,1,313,147
15,1,320,147
15,1,320,0
15,2,189,139
15,2,190,156
15,2,198,159
15,2,271,180
15,2,320,180
15,2,320,165
15,2,247,150
15,2,193,139
15,3,113,168
15,3,107,178
15,3,107,180
15,3,122,180
15,3,118,171
15,4,193,170
15,4,199,179
15,4,200,180
15,4,221,180
15,4,218,178
15,4,195,170
15,5,181,179
16,0,0,0
16,0,0,180
16,0,92,180
16,0,95,175
16,0,95,154
16,0,96,144
16,0,96,133
16,0,84,128
16,0,75,126
16,0,75,121
16,0,97,128
16,0,102,127
16,0,112,123
16,0,108,121
16,0,103,121
16,0,103,115
16,0,119,118
16,0,124,116
16,0,128,113
16,0,129,104
16,0,126,88
16,0,129,71
16,0,142,68
16,0,152,72
16,0,154,85
16,0,154,94
16,0,152,104
16,0,152,110
16,0,155,113
16,0,158,113
16,0,158,0
16,0,50,0
16,0,49,75
16,0,49,121
16,0,2,121
16,0,3,62
16,0,3,0
16,1,181,0
16,1,181,122
16,1,185,123
16,1,187,128
16,1,203,131
16,1,314,148
16,1,320,148
16,1,320,0
16,2,192,139
16,2,197,151
16,2,200,158
16,2,218,164
16,2,272,180
16,2,320,180
16,2,320,166
16,2,314,164
16,2,194,139
16,3,182,166
16,3,179,177
16,3,179,180
16,3,195,180
16,3,189,172
16,4,112,172
16,4,111,180
16,4,116,180
16,4,114,173
16,5,218,177
16,6,219,178
16,6,219,180
16,6,224,180
16,6,222,178
17,0,0,0
17,0,0,180
17,0,101,180
17,0,100,172
17,0,95,160
17,0,91,143
17,0,91,124
17,0,97,125
17,0,110,119
17,0,123,111
17,0,125,108
17,0,126,100
17,0,123,88
17,0,124,77
17,0,125,68
17,0,135,65
17,0,142,66
17,0,149,68
17,0,153,85
17,0,151,99
17,0,150,110
17,0,168,116
17,0,174,117
17,0,174,0
17,0,67,0
17,0,66,13
17,0,66,124
17,0,19,124
17,0,20,66
17,0,20,0
17,1,195,0
17,1,195,130
17,1,211,133
17,1,320,150
17,1,320,0
17,2,201,141
17,2,203,145
17,2,212,157
17,2,225,163
17,2,227,166
17,2,272,180
17,2,320,180
17,2,320,166
17,2,203,141
17,3,179,162
17,3,176,177
17,3,176,180
17,3,210,180
17,3,204,173
17,3,198,168
17,3,182,162
18,0,0,0
18,0,0,180
18,0,107,180
18,0,105,171
18,0,94,159
18,0,89,151
18,0,86,142
18,0,86,125
18,0,97,120
18,0,113,112
18,0,120,108
18,0,122,101
18,0,122,95
18,0,118,83
18,0,121,70
18,0,121,64
18,0,126,63
18,0,131,61
18,0,139,62
18,0,145,64
18,0,151,82
18,0,149,102
18,0,147,102
18,0,147,108
18,0,163,114
18,0,180,116
18,0,188,123
18,0,189,123
18,0,189,0
18,0,83,0
18,0,82,3
18,0,81,104
18,0,81,127
18,0,35,127
18,0,36,100
18,0,36,0
18,1,209,0
18,1,209,122
18,1,210,134
18,1,316,151
18,1,320,151
18,1,320,0
18,2,212,144
18,2,217,149
18,2,230,153
18,2,244,164
18,2,260,176
18,2,271,180
18,2,320,180
18,2,320,167
18,2,215,144
18,3,176,159
18,3,175,160
18,3,173,173
18,3,173,180
18,3,230,180
18,3,227,178
18,3,178,159
19,0,0,0
19,0,0,134
19,0,7,132
19,0,7,137
19,0,1,139
19,0,0,140
19,0,0,180
19,0,101,180
19,0,94,164
19,0,89,156
19,0,85,151
19,0,81,139
19,0,80,131
19,0,51,131
19,0,52,105
19,0,53,0
19,1,98,0
19,1,97,68
19,1,97,115
19,1,103,113
19,1,116,106
19,1,119,97
19,1,118,92
19,1,114,81
19,1,118,63
19,1,119,61
19,1,129,57
19,1,138,59
19,1,143,60
19,1,146,70
19,1,149,79
19,1,147,100
19,1,145,100
19,1,145,106
19,1,157,113
19,1,174,113
19,1,197,128
19,1,204,132
19,1,204,0
19,2,223,0
19,2,223,27
19,2,224,137
19,2,231,139
19,2,318,153
19,2,320,153
19,2,320,0
19,3,182,148
19,3,180,150
19,3,188,153
19,3,224,165
19,3,227,164
19,3,214,157
19,3,185,148
19,4,250,153
19,5,252,154
19,5,257,158
19,5,267,164
19,5,283,169
19,5,298,173
19,5,306,178
19,5,307,180
19,5,320,180
19,5,320,169
19,5,314,167
19,5,256,154
19,6,172,156
19,6,170,170
19,6,174,173
19,6,176,180
19,6,232,180
19,6,229,178
19,6,174,156
19,7,227,165
19,8,231,166
19,9,234,167
19,9,237,169
19,9,270,180
19,9,289,180
19,9,286,177
19,9,285,179
19,9,275,174
19,9,239,167
20,0,0,0
20,0,0,144
20,0,5,143
20,0,23,136
20,0,22,141
20,0,1,151
20,0,0,152
20,0,0,180
20,0,93,180
20,0,88,168
20,0,83,158
20,0,76,136
20,0,75,135
20,0,67,135
20,0,68,121
20,0,69,26
20,0,69,0
20,1,114,0
20,1,113,63
20,1,118,58
20,1,125,55
20,1,133,56
20,1,140,57
20,1,142,63
20,1,147,77
20,1,146,92
20,1,145,99
20,1,143,100
20,1,143,107
20,1,152,114
20,1,169,113
20,1,193,125
20,1,216,135
20,1,220,135
20,1,220,54
20,1,219,0
20,2,238,0
20,2,238,33
20,2,239,133
20,2,240,139
20,2,256,145
20,2,317,155
20,2,320,155
20,2,320,0
20,3,113,89
20,3,113,100
20,3,115,97
20,3,116,94
20,3,114,89
20,4,184,146
20,4,180,150
20,4,221,164
20,4,269,180
20,4,320,180
20,4,320,170
20,4,308,168
20,4,295,164
20,4,286,162
20,4,259,160
20,4,231,157
20,4,214,151
20,4,191,147
20,5,181,158
20,5,184,169
20,5,182,174
20,5,177,169
20,5,171,165
20,5,169,161
20,5,167,161
20,5,166,180
20,5,233,180
20,5,231,178
20,5,187,160
21,0,0,0
21,0,0,136
21,0,8,136
21,0,8,141
21,0,1,142
21,0,0,143
21,0,0,155
21,0,10,152
21,0,40,141
21,0,40,146
21,0,31,149
21,0,0,164
21,0,0,180
21,0,85,180
21,0,78,165
21,0,76,149
21,0,71,136
21,0,73,117
21,0,83,117
21,0,84,116
21,0,85,84
21,0,85,0
21,1,130,0
21,1,130,56
21,1,137,57
21,1,139,61
21,1,145,78
21,1,144,101
21,1,140,102
21,1,140,108
21,1,149,115
21,1,152,117
21,1,171,117
21,1,198,127
21,1,212,132
21,1,237,132
21,1,237,102
21,1,236,16
21,1,235,0
21,2,254,0
21,2,254,45
21,2,255,114
21,2,256,137
21,2,269,140
21,2,280,140
21,2,291,139
21,2,295,140
21,2,306,139
21,2,320,140
21,2,320,0
21,3,302,147
21,3,284,151
21,3,284,152
21,3,314,157
21,3,320,157
21,3,320,148
21,4,185,148
21,5,186,149
21,5,187,152
21,5,224,165
21,5,268,180
21,5,320,180
21,5,320,172
21,5,305,168
21,5,248,155
21,5,230,155
21,5,215,151
21,5,194,149
21,6,174,155
21,6,164,165
21,6,163,172
21,6,163,180
21,6,235,180
21,6,233,178
21,6,190,160
21,6,178,155
22,0,0,0
22,0,0,145
22,0,26,141
22,0,26,146
22,0,7,150
22,0,0,152
22,0,0,166
22,0,9,164
22,0,58,146
22,0,58,151
22,0,49,154
22,0,10,172
22,0,0,177
22,0,0,180
22,0,76,180
22,0,73,173
22,0,72,154
22,0,67,142
22,0,67,134
22,0,68,122
22,0,81,122
22,0,90,119
22,0,102,113
22,0,102,79
22,0,103,0
22,1,149,0
22,1,147,5
22,1,146,94
22,1,146,119
22,1,153,123
22,1,166,121
22,1,192,131
22,1,207,136
22,1,214,135
22,1,223,132
22,1,255,131
22,1,255,111
22,1,253,0
22,2,271,0
22,2,271,40
22,2,273,130
22,2,281,124
22,2,287,121
22,2,295,120
22,2,299,121
22,2,316,116
22,2,320,113
22,2,320,0
22,3,316,124
22,3,307,128
22,3,281,143
22,3,274,146
22,3,274,153
22,3,315,160
22,3,320,160
22,3,320,124
22,4,177,156
22,4,168,166
22,4,162,173
22,4,162,180
22,4,237,180
22,4,233,177
22,4,198,162
22,4,184,156
22,5,201,156
22,6,240,155
22,6,233,157
22,6,204,157
22,6,206,159
22,6,264,179
22,6,266,180
22,6,320,180
22,6,320,174
22,6,305,170
23,0,0,0
23,0,0,154
23,0,38,148
23,0,45,147
23,0,45,152
23,0,26,156
23,0,0,162
23,0,0,178
23,0,9,176
23,0,57,159
23,0,65,156
23,0,62,150
23,0,63,130
23,0,80,129
23,0,100,119
23,0,104,109
23,0,103,103
23,0,97,90
23,0,99,80
23,0,102,70
23,0,103,67
23,0,109,65
23,0,115,62
23,0,120,62
23,0,121,47
23,0,121,0
23,1,168,0
23,1,165,11
23,1,165,119
23,1,171,123
23,1,178,126
23,1,179,130
23,1,171,131
23,1,174,133
23,1,200,143
23,1,206,144
23,1,216,138
23,1,259,125
23,1,266,122
23,1,274,108
23,1,274,89
23,1,272,6
23,1,271,0
23,2,289,0
23,2,289,16
23,2,291,87
23,2,292,98
23,2,301,95
23,2,309,89
23,2,315,84
23,2,320,81
23,2,320,0
23,3,319,93
23,3,314,98
23,3,306,102
23,3,300,107
23,3,292,117
23,3,293,158
23,3,295,160
23,3,320,164
23,3,320,93
23,4,274,136
23,4,252,149
23,4,249,152
23,4,272,156
23,4,275,156
23,4,275,136
23,5,239,157
23,5,232,161
23,5,220,163
23,5,223,165
23,5,265,180
23,5,320,180
23,5,320,176
23,5,270,164
23,6,65,161
23,6,34,175
23,6,25,179
23,6,25,180
23,6,67,180
23,6,67,161
23,7,185,164
23,7,175,165
23,7,163,179
23,7,163,180
23,7,240,180
23,7,238,178
23,7,208,165
23,7,199,164
24,0,0,0
24,0,0,164
24,0,58,155
24,0,59,150
24,0,59,138
24,0,76,136
24,0,96,126
24,0,101,114
24,0,99,108
24,0,93,95
24,0,97,77
24,0,100,72
24,0,112,66
24,0,123,68
24,0,129,71
24,0,133,79
24,0,138,91
24,0,138,101
24,0,136,117
24,0,133,119
24,0,133,126
24,0,136,126
24,0,140,123
24,0,140,0
24,1,189,0
24,1,185,15
24,1,185,142
24,1,202,149
24,1,206,148
24,1,213,142
24,1,236,129
24,1,258,116
24,1,261,107
24,1,264,96
24,1,270,87
24,1,273,85
24,1,277,87
24,1,281,82
24,1,294,72
24,1,294,45
24,1,293,15
24,1,292,0
24,2,309,0
24,2,315,159
24,2,316,167
24,2,320,167
24,2,320,0
24,3,294,82
24,3,289,89
24,3,277,116
24,3,273,124
24,3,265,133
24,3,257,140
24,3,243,153
24,3,244,155
24,3,291,163
24,3,297,163
24,3,297,134
24,3,295,82
24,4,275,88
24,5,237,159
24,5,229,164
24,5,226,166
24,5,264,180
24,5,320,180
24,5,319,178
24,5,239,159
24,6,58,160
24,6,0,173
24,6,0,180
24,6,35,180
24,6,61,171
24,6,63,170
24,6,62,164
24,7,218,168
24,7,215,169
24,7,189,170
24,7,174,172
24,7,170,180
24,7,243,180
24,7,239,177
24,8,61,178
24,8,59,180
24,8,63,180
24,8,63,178
25,0,0,0
25,0,0,175
25,0,53,167
25,0,56,166
25,0,56,143
25,0,66,142
25,0,76,139
25,0,93,130
25,0,98,120
25,0,97,113
25,0,90,97
25,0,94,80
25,0,97,75
25,0,110,68
25,0,126,72
25,0,130,78
25,0,137,95
25,0,137,115
25,0,142,112
25,0,147,111
25,0,150,112
25,0,162,112
25,0,162,3
25,0,161,0
25,1,238,0
25,1,212,1
25,1,208,16
25,1,206,24
25,1,206,104
25,1,207,144
25,1,215,138
25,1,229,128
25,1,248,114
25,1,255,109
25,1,257,99
25,1,259,87
25,1,264,77
25,1,265,74
25,1,271,76
25,1,277,66
25,1,285,59
25,1,290,56
25,1,294,50
25,1,294,48
25,1,298,46
25,1,305,42
25,1,304,50
25,1,301,53
25,1,299,61
25,1,292,68
25,1,282,75
25,1,272,113
25,1,266,123
25,1,254,137
25,1,245,148
25,1,234,161
25,1,214,171
25,1,190,173
25,1,176,176
25,1,174,180
25,1,247,180
25,1,243,177
25,1,232,172
25,1,231,169
25,1,237,170
25,1,264,180
25,1,312,180
25,1,312,179
25,1,262,167
25,1,259,167
25,1,259,162
25,1,302,169
25,1,314,171
25,1,320,171
25,1,320,94
25,1,316,8
25,1,315,0
25,2,136,116
25,3,161,117
25,3,153,122
25,3,141,123
25,3,136,127
25,3,134,132
25,3,146,139
25,3,162,138
25,3,162,117
25,4,56,173
25,4,29,179
25,4,29,180
25,4,59,180
25,4,59,173
26,0,8,0
26,0,7,1
26,0,0,133
26,0,0,180
26,0,48,180
26,0,55,179
26,0,57,172
26,0,56,168
26,0,56,145
26,0,65,144
26,0,79,139
26,0,92,133
26,0,97,121
26,0,96,115
26,0,89,101
26,0,90,90
26,0,93,79
26,0,97,75
26,0,107,69
26,0,114,69
26,0,125,72
26,0,130,80
26,0,137,96
26,0,137,114
26,0,143,111
26,0,161,111
26,0,163,113
26,0,155,118
26,0,152,120
26,0,141,122
26,0,137,124
26,0,133,131
26,0,133,134
26,0,145,141
26,0,151,140
26,0,156,139
26,0,178,143
26,0,187,144
26,0,187,114
26,0,186,43
26,0,185,0
26,1,319,5
26,1,255,7
26,1,236,8
26,1,232,23
26,1,230,32
26,1,230,66
26,1,231,118
26,1,238,114
26,1,255,101
26,1,258,99
26,1,262,80
26,1,267,70
26,1,272,66
26,1,274,66
26,1,280,54
26,1,287,48
26,1,295,44
26,1,303,33
26,1,309,31
26,1,310,37
26,1,306,42
26,1,305,47
26,1,307,48
26,1,306,52
26,1,295,62
26,1,289,66
26,1,283,68
26,1,277,94
26,1,274,105
26,1,269,115
26,1,258,128
26,1,247,142
26,1,238,153
26,1,234,157
26,1,232,158
26,1,232,176
26,1,187,176
26,1,186,174
26,1,179,176
26,1,178,180
26,1,257,180
26,1,257,178
26,1,263,179
26,1,265,180
26,1,300,180
26,1,300,179
26,1,287,176
26,1,286,171
26,1,316,176
26,1,320,176
26,1,320,5
27,0,36,0
27,0,33,54
27,0,27,175
27,0,27,180
27,0,55,180
27,0,58,153
27,0,58,144
27,0,71,142
27,0,92,133
27,0,98,121
27,0,97,116
27,0,89,100
27,0,90,89
27,0,93,78
27,0,97,74
27,0,108,67
27,0,118,68
27,0,127,71
27,0,135,87
27,0,139,96
27,0,139,117
27,0,146,114
27,0,167,113
27,0,162,118
27,0,158,121
27,0,146,123
27,0,140,127
27,0,135,134
27,0,140,138
27,0,145,141
27,0,154,138
27,0,180,137
27,0,200,135
27,0,212,121
27,0,214,119
27,0,214,89
27,0,212,16
27,0,211,0
27,1,304,13
27,1,265,15
27,1,262,18
27,1,257,43
27,1,258,87
27,1,259,92
27,1,267,88
27,1,275,71
27,1,281,64
27,1,284,61
27,1,291,47
27,1,291,45
27,1,295,43
27,1,301,38
27,1,311,36
27,1,318,24
27,1,320,22
27,1,320,13
27,2,0,19
27,2,0,180
27,2,17,180
27,2,19,150
27,2,25,38
27,2,25,34
27,2,3,20
27,3,319,42
27,3,314,47
27,3,319,45
27,4,319,51
27,4,311,58
27,4,306,61
27,4,298,61
27,4,291,69
27,4,282,95
27,4,277,104
27,4,265,117
27,4,260,122
27,4,260,160
27,4,261,180
27,4,320,180
27,4,320,51
27,5,213,158
27,5,188,169
27,5,185,170
27,5,182,177
27,5,182,180
27,5,216,180
27,5,216,161
27,5,215,158
28,0,67,0
28,0,64,63
28,0,61,133
28,0,61,152
28,0,63,148
28,0,64,140
28,0,77,139
28,0,95,132
28,0,98,127
28,0,101,120
28,0,100,114
28,0,91,97
28,0,93,85
28,0,95,76
28,0,97,72
28,0,102,70
28,0,112,64
28,0,130,66
28,0,132,71
28,0,140,87
28,0,143,94
28,0,143,107
28,0,142,122
28,0,138,125
28,0,139,129
28,0,145,124
28,0,151,122
28,0,170,123
28,0,172,124
28,0,172,126
28,0,167,128
28,0,165,129
28,0,152,130
28,0,145,134
28,0,143,137
28,0,149,138
28,0,163,134
28,0,202,120
28,0,210,113
28,0,220,104
28,0,245,92
28,0,244,60
28,0,241,0
28,1,0,14
28,1,0,180
28,1,48,180
28,1,53,80
28,1,54,60
28,1,54,46
28,1,28,30
28,1,2,14
28,2,316,21
28,2,294,23
28,2,289,52
28,2,289,66
28,2,292,65
28,2,304,48
28,2,315,33
28,2,320,30
28,2,320,21
28,3,319,57
28,3,310,63
28,3,303,70
28,3,292,85
28,3,291,86
28,3,291,109
28,3,294,170
28,3,295,180
28,3,320,180
28,3,320,57
28,4,246,127
28,4,240,132
28,4,217,142
28,4,195,157
28,4,187,178
28,4,187,180
28,4,249,180
28,4,249,168
28,4,247,127
29,0,111,0
29,0,101,2
29,0,100,14
29,0,99,46
29,0,99,77
29,0,101,74
29,0,106,69
29,0,117,62
29,0,136,63
29,0,138,68
29,0,146,84
29,0,150,93
29,0,150,122
29,0,146,124
29,0,144,131
29,0,146,133
29,0,155,131
29,0,185,120
29,0,211,108
29,0,223,94
29,0,226,91
29,0,255,78
29,0,279,67
29,0,280,63
29,0,276,8
29,0,275,0
29,0,172,0
29,0,171,10
29,0,164,1
29,0,163,0
29,1,0,9
29,1,0,180
29,1,60,180
29,1,64,166
29,1,67,157
29,1,76,137
29,1,76,135
29,1,84,136
29,1,87,59
29,1,60,43
29,1,36,29
29,1,7,12
29,1,2,9
29,2,98,78
29,2,99,82
29,3,281,97
29,3,259,119
29,3,236,129
29,3,223,141
29,3,215,148
29,3,202,161
29,3,195,178
29,3,195,180
29,3,288,180
29,3,285,132
29,3,282,97
29,4,98,99
29,4,97,110
29,4,97,132
29,4,103,130
29,4,108,118
29,4,106,112
29,4,99,99
30,0,209,0
30,0,208,21
30,0,196,7
30,0,195,5
30,0,181,7
30,0,137,15
30,0,137,62
30,0,146,63
30,0,148,69
30,0,159,92
30,0,160,109
30,0,160,122
30,0,156,125
30,0,155,132
30,0,160,130
30,0,198,117
30,0,228,105
30,0,236,95
30,0,242,87
30,0,276,69
30,0,302,55
30,0,315,45
30,0,319,42
30,0,319,32
30,0,316,5
30,0,315,0
30,1,0,4
30,1,0,180
30,1,71,180
30,1,77,160
30,1,91,138
30,1,94,135
30,1,101,136
30,1,113,131
30,1,118,119
30,1,116,113
30,1,107,96
30,1,108,85
30,1,111,72
30,1,115,69
